Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Alvin Kamara (11250627),Alvin Kamara,11250627,RB/FLEX,9500,CLE@NO 09/16/2018 01:00PM ET,NO,46.1
RB,Todd Gurley II (11250469),Todd Gurley II,11250469,RB/FLEX,9200,ARI@LAR 09/16/2018 04:05PM ET,LAR,26.7
RB,Le'Veon Bell (11250178),Le'Veon Bell,11250178,RB/FLEX,9000,KC@PIT 09/16/2018 01:00PM ET,PIT,0
WR,Antonio Brown (11250036),Antonio Brown,11250036,WR/FLEX,8800,KC@PIT 09/16/2018 01:00PM ET,PIT,24.3
WR,Michael Thomas (11250415),Michael Thomas,11250415,WR/FLEX,8600,CLE@NO 09/16/2018 01:00PM ET,NO,42
WR,Odell Beckham Jr. (11250266),Odell Beckham Jr.,11250266,WR/FLEX,8500,NYG@DAL 09/16/2018 08:20PM ET,NYG,25
WR,Julio Jones (11250046),Julio Jones,11250046,WR/FLEX,8400,CAR@ATL 09/16/2018 01:00PM ET,ATL,31
RB,David Johnson (11250195),David Johnson,11250195,RB/FLEX,8200,ARI@LAR 09/16/2018 04:05PM ET,ARI,17.7
WR,DeAndre Hopkins (11250251),DeAndre Hopkins,11250251,WR/FLEX,8000,HOU@TEN 09/16/2018 01:00PM ET,HOU,15.1
WR,Keenan Allen (11250226),Keenan Allen,11250226,WR/FLEX,7800,LAC@BUF 09/16/2018 01:00PM ET,LAC,27.8
WR,Tyreek Hill (11250684),Tyreek Hill,11250684,WR/FLEX,7600,KC@PIT 09/16/2018 01:00PM ET,KC,45.3
RB,Ezekiel Elliott (11250530),Ezekiel Elliott,11250530,RB/FLEX,7600,NYG@DAL 09/16/2018 08:20PM ET,DAL,17.6
RB,Melvin Gordon III (11250349),Melvin Gordon III,11250349,RB/FLEX,7400,LAC@BUF 09/16/2018 01:00PM ET,LAC,30.6
WR,Mike Evans (11250290),Mike Evans,11250290,WR/FLEX,7300,PHI@TB 09/16/2018 01:00PM ET,TB,30.7
RB,Saquon Barkley (11250793),Saquon Barkley,11250793,RB/FLEX,7300,NYG@DAL 09/16/2018 08:20PM ET,NYG,23.8
QB,Drew Brees (11249885),Drew Brees,11249885,QB,7200,CLE@NO 09/16/2018 01:00PM ET,NO,34.56
WR,Adam Thielen (11250540),Adam Thielen,11250540,WR/FLEX,7100,MIN@GB 09/16/2018 01:00PM ET,MIN,19.2
RB,Christian McCaffrey (11250694),Christian McCaffrey,11250694,RB/FLEX,7000,CAR@ATL 09/16/2018 01:00PM ET,CAR,14.5
TE,Rob Gronkowski (11249987),Rob Gronkowski,11249987,TE/FLEX,7000,NE@JAX 09/16/2018 04:25PM ET,NE,27.3
QB,Ben Roethlisberger (11249917),Ben Roethlisberger,11249917,QB,6900,KC@PIT 09/16/2018 01:00PM ET,PIT,17
WR,Stefon Diggs (11250462),Stefon Diggs,11250462,WR/FLEX,6900,MIN@GB 09/16/2018 01:00PM ET,MIN,14.1
QB,Aaron Rodgers (11249895),Aaron Rodgers,11249895,QB,6800,MIN@GB 09/16/2018 01:00PM ET,GB,24.94
